File, Source
Kirchner1.jpg, http://commons.wikimedia.org/wiki/File:Jorge_Obeid_y_N%C3%A9stor_Kirchner_20060818.jpg
Kirchner1.jpg, http://commons.wikimedia.org/wiki/File:N%C3%A9stor_Kirchner_y_Vicente_Fox-Misiones-Julio_2004.jpg
Kirchner1.jpg, http://commons.wikimedia.org/wiki/File:N%C3%A9stor_Kirchner_y_Jos%C3%A9_Mar%C3%ADa_Aznar-Marid-Enero_2004.jpg
Kirchner1.jpg, http://commons.wikimedia.org/wiki/File:N%C3%A9stor_Kirchner_y_Lula_Da_Silva-Brasil-Marzo_2004.jpg
Kirchner.flv, http://www.youtube.com/watch?v=0Zbzd_JY7xU
